method,privacy_mode,mean_encryption_time_sec_mean,mean_aggregation_time_sec_mean,ciphertext_expansion_mean,mean_encryption_time_sec_std,mean_aggregation_time_sec_std,ciphertext_expansion_std
fedavg_heagg,heagg,2.4797829488913215e-05,2.322124394898613e-05,16.0,6.28457255109345e-07,3.380928886772859e-07,0.0
fedavg_plain,plain,3.1634738358358546e-06,2.0143005531281234e-05,1.0,8.572630508739374e-08,7.513550931643271e-08,0.0
fedavg_secureagg,secureagg,3.065281392385562e-06,1.9112392328679566e-05,2.0,4.921763950602889e-08,3.0147975085784587e-07,0.0
fedprox_plain,plain,2.8950744308531284e-06,1.8724678860356413e-05,1.0,1.494263958769288e-07,6.043891323910348e-07,0.0
