method,rounds,runtime_sec,seed,privacy_mode,mean_encryption_time_sec,mean_aggregation_time_sec,mean_ciphertext_expansion,dropout_rate,base_runtime_sec
centralized_audio,1,0.011462499998742715,31,none,,,,,
centralized_audio_evidence,1,0.02137870000296971,31,none,,,,,
local_audio_evidence,1,0.023652299998502713,31,local,,,,,
fedavg_plain,30,0.16256450000219047,31,plain,2.450000950678562e-06,2.538666691786299e-05,1.0,0.0,
fedprox_plain,30,0.1688471999950707,31,plain,4.0453332621837036e-05,2.529333287384361e-05,1.0,0.0,
fedavg_secureagg_sim,30,0.16413489999831654,31,secureagg_sim,0.0005158699995566469,1.3393333453374605e-05,2.0,0.0,
fedavg_quantized_transport_proxy,30,0.1640971999950125,31,quantized_transport_proxy,9.086666711179229e-05,2.8739999106619506e-05,16.0,0.0,
fedavgft_plain,1,0.005723700000089593,31,plain,,,,,0.15818620000209194
centralized_audio,1,0.010639599997375626,37,none,,,,,
centralized_audio_evidence,1,0.017880300001706928,37,none,,,,,
local_audio_evidence,1,0.026874900002439972,37,local,,,,,
fedavg_plain,30,0.1644092000060482,37,plain,3.2266667403746397e-06,3.088333299577547e-05,1.0,0.0,
fedprox_plain,30,0.21595949999755248,37,plain,3.2899993432996173e-06,3.870666744963576e-05,1.0,0.0,
fedavg_secureagg_sim,30,0.18703390000155196,37,secureagg_sim,0.000698463334022866,1.5720000859194747e-05,2.0,0.0,
fedavg_quantized_transport_proxy,30,0.16329309999855468,37,quantized_transport_proxy,0.00011141666715654234,3.284666696951414e-05,16.0,0.0,
fedavgft_plain,1,0.007566299995232839,37,plain,,,,,0.15462269999989076
centralized_audio,1,0.01132339999458054,41,none,,,,,
centralized_audio_evidence,1,0.023119400000723545,41,none,,,,,
local_audio_evidence,1,0.027604700000665616,41,local,,,,,
fedavg_plain,30,0.15196680000371998,41,plain,2.5400006658552835e-06,2.407000041178738e-05,1.0,0.0,
fedprox_plain,30,0.164887799997814,41,plain,2.5333337058934073e-06,2.6509998861001804e-05,1.0,0.0,
fedavg_secureagg_sim,30,0.18324869999923976,41,secureagg_sim,0.0006174900003922327,1.3813333013483014e-05,2.0,0.0,
fedavg_quantized_transport_proxy,30,0.15690440000616945,41,quantized_transport_proxy,0.00010178666634601541,3.041333402507007e-05,16.0,0.0,
fedavgft_plain,1,0.0074012999975821,41,plain,,,,,0.1472877000051085
