mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,protocol_scope,active_clients,dropped_clients,max_abs_error_vs_plain,round,method,privacy_mode,mean_client_loss,dropout_rate_requested,seed
plain,2.5999979698099196e-06,2.3100001271814108e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,10,fedprox,plain,0.1762837624903102,0.0,31
plain,2.9000002541579306e-06,2.300000051036477e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,11,fedprox,plain,0.1721519363209686,0.0,31
plain,2.5000044843181968e-06,2.1899999410379678e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,12,fedprox,plain,0.1684505528828741,0.0,31
plain,2.4999972083605826e-06,2.4299995857290924e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,13,fedprox,plain,0.165108557362103,0.0,31
plain,6.200003554113209e-06,4.239999543642625e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,14,fedprox,plain,0.16207170715328864,0.0,31
plain,2.3000029614195228e-06,2.3200002033263445e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,15,fedprox,plain,0.1592974169685474,0.0,31
plain,2.5000044843181968e-06,2.529999619582668e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,16,fedprox,plain,0.15675147267744644,0.0,31
plain,2.2999956854619086e-06,2.1899999410379678e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,17,fedprox,plain,0.1544058583615428,0.0,31
plain,2.6000052457675338e-06,2.1500003640539944e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,18,fedprox,plain,0.1522372714532024,0.0,31
plain,2.2000021999701858e-06,2.529999619582668e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,19,fedprox,plain,0.1502260774066284,0.0,31
plain,2.4999972083605826e-06,2.1899999410379678e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,20,fedprox,plain,0.14835555362630753,0.0,31
plain,2.6999987312592566e-06,2.1100000594742596e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,21,fedprox,plain,0.14661132903948448,0.0,31
plain,2.3000029614195228e-06,2.4499997380189598e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,22,fedprox,plain,0.14498095939733274,0.0,31
plain,2.0000006770715117e-06,2.1100000594742596e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,23,fedprox,plain,0.1434535989925112,0.0,31
plain,1.7999991541728377e-06,1.930000144056976e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,24,fedprox,plain,0.14201974239554815,0.0,31
plain,1.7999991541728377e-06,1.9099999917671084e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,25,fedprox,plain,0.14067101809452964,0.0,31
plain,2.6000052457675338e-06,2.3300002794712782e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,26,fedprox,plain,0.13940002134698942,0.0,31
plain,2.7999994927085936e-06,2.2000000171829015e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,27,fedprox,plain,0.13820017717675714,0.0,31
plain,2.4999972083605826e-06,2.4000000848900527e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,28,fedprox,plain,0.13706562691543767,0.0,31
plain,2.1000014385208488e-06,2.0899999071843922e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,29,fedprox,plain,0.13599113339806318,0.0,31
plain,2.3999964469112456e-06,2.099999983329326e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,30,fedprox,plain,0.1349720011283742,0.0,31
secureagg_sim,0.00046470000233966857,1.080000220099464e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.915134717478395e-15,1,fedavg,secureagg_sim,0.3234046186488072,0.0,31
secureagg_sim,0.0004169000021647662,9.60000033956021e-06,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.2412627309620348e-15,2,fedavg,secureagg_sim,0.26436272930839944,0.0,31
secureagg_sim,0.00047700000141048804,1.0900002962443978e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.925543058334256e-15,3,fedavg,secureagg_sim,0.2370749366980512,0.0,31
secureagg_sim,0.00044630000047618523,1.0600000678095967e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.403391292065237e-15,4,fedavg,secureagg_sim,0.22038802035876298,0.0,31
secureagg_sim,0.0004741000011563301,1.1900003300979733e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.5508427875232655e-15,5,fedavg,secureagg_sim,0.20860131579425711,0.0,31
secureagg_sim,0.0006969000023673289,1.979999797185883e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.185751579730777e-15,6,fedavg,secureagg_sim,0.19954150572503446,0.0,31
secureagg_sim,0.0004482000003918074,1.1199997970834374e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.5751289161869408e-15,7,fedavg,secureagg_sim,0.19219700870519846,0.0,31
secureagg_sim,0.0005702999987988733,1.8699996871873736e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.0604178085914526e-15,8,fedavg,secureagg_sim,0.1860293418882188,0.0,31
secureagg_sim,0.0004206000012345612,9.700001101009548e-06,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.8240617349896127e-15,9,fedavg,secureagg_sim,0.18072220342558498,0.0,31
secureagg_sim,0.0004270999997970648,9.499999578110874e-06,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.4779844015322396e-15,10,fedavg,secureagg_sim,0.17607506367686823,0.0,31
secureagg_sim,0.00043680000089807436,1.0000003385357559e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.8752360775309285e-15,11,fedavg,secureagg_sim,0.1719527673590664,0.0,31
secureagg_sim,0.0006674000032944605,2.1200001356191933e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.057165202073996e-15,12,fedavg,secureagg_sim,0.168259552105586,0.0,31
