seed,method,segment_f1_proxy,segment_precision_proxy,partial_segment_n
31,centralized_video,0.7142857142857143,0.6657608695652174,551
31,centralized_audio,0.6967930029154519,0.6694677871148459,551
31,centralized_multimodal,0.956268221574344,0.8817204301075269,551
31,local_multimodal,0.9329446064139941,0.8913649025069638,551
31,fedavg_plain,0.956268221574344,0.8817204301075269,551
31,fedprox_plain,0.956268221574344,0.8817204301075269,551
31,fedavg_secureagg,0.956268221574344,0.8817204301075269,551
31,fedavg_heagg,0.956268221574344,0.8817204301075269,551
37,centralized_video,0.7484662576687117,0.7093023255813954,503
37,centralized_audio,0.7239263803680982,0.7151515151515152,503
37,centralized_multimodal,0.9478527607361963,0.9223880597014925,503
37,local_multimodal,0.9294478527607362,0.9351851851851852,503
37,fedavg_plain,0.950920245398773,0.9226190476190477,503
37,fedprox_plain,0.950920245398773,0.9226190476190477,503
37,fedavg_secureagg,0.950920245398773,0.9226190476190477,503
37,fedavg_heagg,0.950920245398773,0.9226190476190477,503
41,centralized_video,0.7784810126582279,0.6721311475409836,502
41,centralized_audio,0.7689873417721519,0.6825842696629213,502
41,centralized_multimodal,0.9778481012658228,0.8879310344827587,502
41,local_multimodal,0.9430379746835443,0.8922155688622755,502
41,fedavg_plain,0.9778481012658228,0.8879310344827587,502
41,fedprox_plain,0.9778481012658228,0.8879310344827587,502
41,fedavg_secureagg,0.9778481012658228,0.8879310344827587,502
41,fedavg_heagg,0.9778481012658228,0.8879310344827587,502
43,centralized_video,0.7421203438395415,0.7115384615384616,553
43,centralized_audio,0.6876790830945558,0.712166172106825,553
43,centralized_multimodal,0.9398280802292264,0.9111111111111111,553
43,local_multimodal,0.9140401146131805,0.9088319088319088,553
43,fedavg_plain,0.9398280802292264,0.9111111111111111,553
43,fedprox_plain,0.9398280802292264,0.9111111111111111,553
43,fedavg_secureagg,0.9398280802292264,0.9111111111111111,553
43,fedavg_heagg,0.9398280802292264,0.9111111111111111,553
47,centralized_video,0.7175324675324676,0.6676737160120846,510
47,centralized_audio,0.6883116883116883,0.6523076923076923,510
47,centralized_multimodal,0.9448051948051948,0.9009287925696594,510
47,local_multimodal,0.9253246753246753,0.8878504672897196,510
47,fedavg_plain,0.9448051948051948,0.9009287925696594,510
47,fedprox_plain,0.9448051948051948,0.9009287925696594,510
47,fedavg_secureagg,0.9448051948051948,0.9009287925696594,510
47,fedavg_heagg,0.9448051948051948,0.9009287925696594,510
