method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
early_fusion_similarity,multimodal,none,0.7613337445349491,0.8166612445506313,0.7236180904522613,0.6281512605042017,0.8246753246753247,0.4584837545126354,127,27,172,150,476,speed_change,47
fedavg_plain,multimodal,none,1.0,0.9999999999999999,0.0,0.9903381642512077,0.9831223628691983,1.0,233,4,177,0,414,audio_noise,47
fedavg_plain,multimodal,none,0.9836427033124807,0.9831668035254049,0.07035175879396985,0.9392405063291139,0.9134615384615384,0.9693877551020408,190,18,181,6,395,audio_replaced,47
fedavg_plain,multimodal,none,0.9805973266499582,0.9851325172805405,0.07738095238095238,0.9403973509933775,0.9271523178807947,0.9824561403508771,280,22,146,5,453,cam_recording,47
fedavg_plain,multimodal,none,0.9999866310160428,0.9999937655860349,0.0,0.9829642248722317,0.975609756097561,1.0,400,10,177,0,587,clean_copy,47
fedavg_plain,multimodal,none,0.9995534859985966,0.999674610081405,0.00546448087431694,0.9863636363636363,0.9771863117870723,1.0,257,6,177,0,440,crop_overlay,47
fedavg_plain,multimodal,none,,,,0.9973226238286479,0.0,0.0,0,2,745,0,747,hard_negative_same_topic,47
fedavg_plain,multimodal,none,0.954031117397454,0.9599806658895146,0.16336633663366337,0.903921568627451,0.9009287925696594,0.9448051948051948,291,32,170,17,510,partial_segment,47
fedavg_plain,multimodal,none,1.0,1.0,0.0,0.9980806142034548,0.9969135802469136,1.0,323,1,197,0,521,pitch_shift,47
fedavg_plain,multimodal,none,1.0,1.0,0.0,0.9978118161925602,0.9962264150943396,1.0,264,1,192,0,457,reencode,47
fedavg_plain,multimodal,none,0.9786296101445857,0.983594936957617,0.10050251256281408,0.9180672268907563,0.902027027027027,0.9638989169675091,267,29,170,10,476,speed_change,47
fedprox_plain,multimodal,none,1.0,0.9999999999999999,0.0,0.9903381642512077,0.9831223628691983,1.0,233,4,177,0,414,audio_noise,47
fedprox_plain,multimodal,none,0.9836427033124807,0.9831668035254049,0.07035175879396985,0.9392405063291139,0.9134615384615384,0.9693877551020408,190,18,181,6,395,audio_replaced,47
fedprox_plain,multimodal,none,0.9805973266499582,0.9851325172805405,0.07738095238095238,0.9403973509933775,0.9271523178807947,0.9824561403508771,280,22,146,5,453,cam_recording,47
fedprox_plain,multimodal,none,0.9999866310160428,0.9999937655860349,0.0,0.9829642248722317,0.975609756097561,1.0,400,10,177,0,587,clean_copy,47
fedprox_plain,multimodal,none,0.9995534859985966,0.999674610081405,0.00546448087431694,0.9863636363636363,0.9771863117870723,1.0,257,6,177,0,440,crop_overlay,47
fedprox_plain,multimodal,none,,,,0.9973226238286479,0.0,0.0,0,2,745,0,747,hard_negative_same_topic,47
fedprox_plain,multimodal,none,0.953998971325704,0.9599650808693578,0.16336633663366337,0.903921568627451,0.9009287925696594,0.9448051948051948,291,32,170,17,510,partial_segment,47
fedprox_plain,multimodal,none,1.0,1.0,0.0,0.9980806142034548,0.9969135802469136,1.0,323,1,197,0,521,pitch_shift,47
fedprox_plain,multimodal,none,1.0,1.0,0.0,0.9978118161925602,0.9962264150943396,1.0,264,1,192,0,457,reencode,47
fedprox_plain,multimodal,none,0.9786114688968307,0.9835783878297321,0.10050251256281408,0.9180672268907563,0.902027027027027,0.9638989169675091,267,29,170,10,476,speed_change,47
fedavg_secureagg,multimodal,none,1.0,0.9999999999999999,0.0,0.9903381642512077,0.9831223628691983,1.0,233,4,177,0,414,audio_noise,47
fedavg_secureagg,multimodal,none,0.9836427033124807,0.9831668035254049,0.07035175879396985,0.9392405063291139,0.9134615384615384,0.9693877551020408,190,18,181,6,395,audio_replaced,47
fedavg_secureagg,multimodal,none,0.9805973266499582,0.9851325172805405,0.07738095238095238,0.9403973509933775,0.9271523178807947,0.9824561403508771,280,22,146,5,453,cam_recording,47
fedavg_secureagg,multimodal,none,0.9999866310160428,0.9999937655860349,0.0,0.9829642248722317,0.975609756097561,1.0,400,10,177,0,587,clean_copy,47
fedavg_secureagg,multimodal,none,0.9995534859985966,0.999674610081405,0.00546448087431694,0.9863636363636363,0.9771863117870723,1.0,257,6,177,0,440,crop_overlay,47
fedavg_secureagg,multimodal,none,,,,0.9973226238286479,0.0,0.0,0,2,745,0,747,hard_negative_same_topic,47
fedavg_secureagg,multimodal,none,0.954031117397454,0.9599806658895146,0.16336633663366337,0.903921568627451,0.9009287925696594,0.9448051948051948,291,32,170,17,510,partial_segment,47
fedavg_secureagg,multimodal,none,1.0,1.0,0.0,0.9980806142034548,0.9969135802469136,1.0,323,1,197,0,521,pitch_shift,47
fedavg_secureagg,multimodal,none,1.0,1.0,0.0,0.9978118161925602,0.9962264150943396,1.0,264,1,192,0,457,reencode,47
fedavg_secureagg,multimodal,none,0.9786296101445857,0.983594936957617,0.10050251256281408,0.9180672268907563,0.902027027027027,0.9638989169675091,267,29,170,10,476,speed_change,47
fedavg_heagg,multimodal,none,1.0,0.9999999999999999,0.0,0.9903381642512077,0.9831223628691983,1.0,233,4,177,0,414,audio_noise,47
fedavg_heagg,multimodal,none,0.9836427033124807,0.9831668035254049,0.07035175879396985,0.9392405063291139,0.9134615384615384,0.9693877551020408,190,18,181,6,395,audio_replaced,47
fedavg_heagg,multimodal,none,0.9805973266499582,0.9851325172805405,0.07738095238095238,0.9403973509933775,0.9271523178807947,0.9824561403508771,280,22,146,5,453,cam_recording,47
fedavg_heagg,multimodal,none,0.9999866310160428,0.9999937655860349,0.0,0.9829642248722317,0.975609756097561,1.0,400,10,177,0,587,clean_copy,47
