method,privacy_mode,mean_encryption_time_sec_mean,mean_aggregation_time_sec_mean,ciphertext_expansion_mean,mean_encryption_time_sec_std,mean_aggregation_time_sec_std,ciphertext_expansion_std
fedavg_heagg,heagg,4.0903103848298394e-05,3.239872865378857e-05,16.0,6.733285313992605e-07,2.726578878280866e-07,0.0
fedavg_plain,plain,3.367137784759204e-06,2.5695667912562684e-05,1.0,1.417856697291541e-07,8.759545591617705e-07,0.0
fedavg_secureagg,secureagg,3.4742833425601326e-06,2.549999393522739e-05,2.0,7.534473896803578e-08,2.441466704844622e-07,0.0
fedprox_plain,plain,4.791639124353726e-06,2.5922345618406934e-05,1.0,1.2265937622555743e-06,6.368006240907161e-07,0.0
