method,privacy_mode,mean_encryption_time_sec_mean,mean_aggregation_time_sec_mean,ciphertext_expansion_mean,mean_encryption_time_sec_std,mean_aggregation_time_sec_std,ciphertext_expansion_std
fedavg_heagg,heagg,2.8394147132833802e-05,2.5886530056595803e-05,16.0,3.345926134675513e-06,2.198328637378652e-06,0.0
fedavg_plain,plain,3.532434089316262e-06,2.3686953095926176e-05,1.0,1.5054685410839637e-07,3.0171862301045937e-06,0.0
fedavg_secureagg,secureagg,3.3410214301612644e-06,2.1687641532884705e-05,2.0,1.6788494537246745e-07,7.821783713792801e-07,0.0
fedprox_plain,plain,3.166677844193247e-06,2.1141669195559287e-05,1.0,1.8121257330856884e-07,1.3905280260913261e-06,0.0
