method,privacy_mode,mean_encryption_time_sec_mean,mean_aggregation_time_sec_mean,ciphertext_expansion_mean,mean_encryption_time_sec_std,mean_aggregation_time_sec_std,ciphertext_expansion_std
fedavg_heagg,heagg,2.2169621661305428e-05,2.298710039920277e-05,16.0,1.5809603055933333e-06,9.775227103737086e-07,0.0
fedavg_plain,plain,4.342948603961203e-06,2.6024174359109667e-05,1.0,2.57242040617699e-06,1.3510613910110869e-05,0.0
fedavg_secureagg,secureagg,3.3637612230247926e-06,2.095243479642603e-05,2.0,6.864507701007496e-07,4.1244589656468665e-06,0.0
fedprox_plain,plain,4.815170541405678e-06,2.6873281846443816e-05,1.0,2.1580216280330805e-06,1.3177740753206957e-05,0.0
