tier,method,client_id,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,n_mean,n_std,seeds
VCSL public-label audit,client_clustered_invariant_gate,0,0.908198322093907,0.031472051774883526,0.8927984952456511,0.02503599631563672,194.33333333333334,96.00173609541305,"31,37,41"
VCSL public-label audit,client_clustered_invariant_gate,1,0.9298364545060919,0.061925057814128284,0.8873468729851708,0.11909813921850941,69.66666666666667,97.38754198219264,"31,37,41"
VCSL public-label audit,client_clustered_invariant_gate,2,0.9778453520145959,0.03133140365056027,0.9600694444444444,0.056470333219759035,19.5,23.33452377915607,"37,41"
VCSL public-label audit,client_clustered_invariant_gate,3,0.896875331259714,0.0896211779694603,0.9048101094948007,0.07745980950544681,232.66666666666666,86.92717258333745,"31,37,41"
VCSL public-label audit,client_clustered_invariant_gate,4,0.7236496750221947,0.016064151679044333,0.7820274354801209,0.06230957220871929,46.0,9.899494936611665,"37,41"
VCSL public-label audit,client_clustered_invariant_gate,5,0.952212994457388,0.002549387520268826,0.9476793302515754,0.0004774911310067086,409.0,125.86500705120545,"37,41"
VCSL public-label audit,client_clustered_invariant_gate,6,0.9071987137758546,0.020042941910253232,0.9179822273990476,0.022241928389511063,550.6666666666666,465.9295368758385,"31,37,41"
VCSL public-label audit,client_clustered_invariant_gate,7,0.9004364729190306,0.0015830947128752,0.8941621661198178,0.00047814318790686134,163.5,57.27564927611035,"37,41"
VCSL public-label audit,client_clustered_invariant_gate,8,0.8789843819648797,0.11964821973126787,0.9042398440060134,0.07114387549084021,146.0,100.2197585309404,"31,37,41"
VCSL public-label audit,client_clustered_invariant_gate,9,0.9270261611417916,0.045954062469956314,0.9252723233815671,0.05116371526730949,181.33333333333334,178.37133551479997,"31,37,41"
VCSL public-label audit,fedavg_plain,0,0.9157112721398336,0.04344105325590378,0.9040527686379027,0.04071873320370319,194.33333333333334,96.00173609541305,"31,37,41"
VCSL public-label audit,fedavg_plain,1,0.9342895586048655,0.06578865216601305,0.8937298517085752,0.12451216949475401,69.66666666666667,97.38754198219264,"31,37,41"
VCSL public-label audit,fedavg_plain,2,0.9809951170537288,0.026876963213929916,0.9635416666666667,0.05155986946151907,19.5,23.33452377915607,"37,41"
VCSL public-label audit,fedavg_plain,3,0.9000394725787251,0.07421417642374929,0.9072581067791475,0.06570400391938176,232.66666666666666,86.92717258333745,"31,37,41"
VCSL public-label audit,fedavg_plain,4,0.7407561392515355,0.02968956934254451,0.7890490583585212,0.06467700714224323,46.0,9.899494936611665,"37,41"
VCSL public-label audit,fedavg_plain,5,0.9528396991003358,0.001654898754639182,0.9486303333497759,6.682740030765195e-07,409.0,125.86500705120545,"37,41"
VCSL public-label audit,fedavg_plain,6,0.9115666087147055,0.02184509761584467,0.9245040318730421,0.024363379326339644,550.6666666666666,465.9295368758385,"31,37,41"
VCSL public-label audit,fedavg_plain,7,0.9018486120830069,0.0014687865022552375,0.8954135998180845,0.00020407957562433175,163.5,57.27564927611035,"37,41"
VCSL public-label audit,fedavg_plain,8,0.8831827914806519,0.11385356018058736,0.9079270157719562,0.06637137383727984,146.0,100.2197585309404,"31,37,41"
VCSL public-label audit,fedavg_plain,9,0.9270453321251076,0.04458234956585786,0.9252636952216785,0.04977825120088456,181.33333333333334,178.37133551479997,"31,37,41"
VCSL public-label audit,local_calibration,0,0.9141015250146743,0.040523828313081295,0.9025647173616065,0.03782192040134104,194.33333333333334,96.00173609541305,"31,37,41"
VCSL public-label audit,local_calibration,1,0.9412270056097514,0.03354615492933545,0.9166344294003869,0.05903519142802769,69.66666666666667,97.38754198219264,"31,37,41"
VCSL public-label audit,local_calibration,2,0.9807758147510931,0.02718710350457693,0.9635416666666667,0.05155986946151907,19.5,23.33452377915607,"37,41"
VCSL public-label audit,local_calibration,3,0.9013757956845018,0.0631161812208268,0.9091220104340186,0.05997017403518581,232.66666666666666,86.92717258333745,"31,37,41"
VCSL public-label audit,local_calibration,4,0.7642679837894004,0.03199868385316131,0.804429202511044,0.06752121716654612,46.0,9.899494936611665,"37,41"
VCSL public-label audit,local_calibration,5,0.9522189765514266,0.0013944350392081956,0.9483174506700616,5.40526744616558e-05,409.0,125.86500705120545,"37,41"
VCSL public-label audit,local_calibration,6,0.9105873985154777,0.02310929958826162,0.9230054535232739,0.025186332803792406,550.6666666666666,465.9295368758385,"31,37,41"
VCSL public-label audit,local_calibration,7,0.904422370097324,0.005503331133970662,0.898308700973455,0.006205971806721286,163.5,57.27564927611035,"37,41"
VCSL public-label audit,local_calibration,8,0.8816276364729964,0.11112744222903885,0.9059783102215216,0.06287728933079259,146.0,100.2197585309404,"31,37,41"
VCSL public-label audit,local_calibration,9,0.926348503922465,0.04510526753701055,0.9245631819161232,0.05073386429005392,181.33333333333334,178.37133551479997,"31,37,41"
VCSL public-label audit,personalized_fedavg,0,0.9155783804452434,0.04407740009414739,0.9040029037419138,0.04144365886939887,194.33333333333334,96.00173609541305,"31,37,41"
VCSL public-label audit,personalized_fedavg,1,0.9330523994152928,0.06477452207623524,0.892520954223082,0.12343341873560298,69.66666666666667,97.38754198219264,"31,37,41"
VCSL public-label audit,personalized_fedavg,2,0.9800248990001774,0.028249058743721467,0.9635416666666667,0.05155986946151907,19.5,23.33452377915607,"37,41"
VCSL public-label audit,personalized_fedavg,3,0.9010257819766658,0.06727718154817316,0.908170524920544,0.06209930544295255,232.66666666666666,86.92717258333745,"31,37,41"
VCSL public-label audit,personalized_fedavg,4,0.7360652923245294,0.036323428685732705,0.7863752615670774,0.0684583268277328,46.0,9.899494936611665,"37,41"
