method,seeds,n_per_seed,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd,fpr_at_95_recall_mean,fpr_at_95_recall_sd,brier_mean,brier_sd,ece_15_mean,ece_15_sd
video_similarity,31;37;41,1800,0.897447991712985,0.0320128470835668,0.899565020576132,0.0348540208570398,0.429259259259259,0.100100772270015,0.166095277064124,0.016410024839341,0.179756598932236,0.0244114174158692
centralized_multimodal,31;37;41,1800,0.918322692703306,0.0256957208493722,0.9180329218107,0.0284944705496112,0.36962962962963,0.115642773353144,0.117682937989183,0.0198288267923984,0.0511361324615027,0.0121525628855522
local_multimodal,31;37;41,1800,0.91747787786447,0.0249160652175285,0.916753909465021,0.0285572925000905,0.368148148148148,0.119857597261914,0.117839025728753,0.021036924489842,0.0464359524839235,0.0138802839697056
fedavg_plain,31;37;41,1800,0.91855827616337,0.0254128917281895,0.918232921810699,0.0281730267285123,0.369259259259259,0.114559453179374,0.117627353300219,0.020002376519342,0.0524587708268937,0.0128504460761365
fedprox_plain,31;37;41,1800,0.918560875219295,0.0254069407788629,0.918234567901234,0.0281675031193188,0.369259259259259,0.114559453179374,0.117626877360731,0.0199983210661445,0.0526960419808595,0.0132565361947307
fedavg_secureagg_sim,31;37;41,1800,0.91855827616337,0.0254128917281895,0.918232921810699,0.0281730267285123,0.369259259259259,0.114559453179374,0.117627353300219,0.0200023765193422,0.0524587708268938,0.0128504460761359
fedavg_quantized_transport_proxy,31;37;41,1800,0.91855827616337,0.0254128917281895,0.918232921810699,0.0281730267285123,0.369259259259259,0.114559453179374,0.117627347515114,0.0200023789144896,0.0524587555855963,0.0128504482872212
