tier,method,client_id,client_test_pairs_mean,client_test_pairs_std,client_positive_rate_mean,client_positive_rate_std,threshold_at_95_recall_mean,threshold_at_95_recall_std,brier_mean,brier_std,ece_mean,ece_std,seeds
VCSL public-label audit,invariant_logistic_poly2,0,194.33333333333334,96.00173609541305,0.5248971715122831,0.008915003781583053,0.18238861439012366,0.11633452770061943,0.1334325315893661,0.030912168219843994,0.09988126084649636,0.016275012986566736,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,1,69.66666666666667,97.38754198219264,0.5425315425315426,0.02255825227602932,0.2189748934834167,0.08911180222688825,0.1265531806137906,0.07491177355991739,0.1924256794824287,0.13883807402755396,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,2,19.5,23.33452377915607,0.5,0.23570226039551584,0.5655732191509912,0.5218491713849219,0.16470704662419466,0.0028604553771316814,0.24145770625535273,0.03755709175141775,"37,41"
VCSL public-label audit,invariant_logistic_poly2,3,232.66666666666666,86.92717258333745,0.5145145145145146,0.003998995866954627,0.14888615051142082,0.0452447031783469,0.12463629526468067,0.04540667452674725,0.10567055806764092,0.03278817670093256,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,4,46.0,9.899494936611665,0.43492985002418966,0.0013683730647054558,0.058818212177992546,0.05678698543654234,0.19966855989520862,0.02836062616692459,0.17403574599529065,0.011769524488965538,"37,41"
VCSL public-label audit,invariant_logistic_poly2,5,409.0,125.86500705120545,0.5015625,0.0022097086912079927,0.21473360341804604,0.015642698189839772,0.08800824386661929,0.0026151945109351817,0.037494463095414605,0.0009287845472703202,"37,41"
VCSL public-label audit,invariant_logistic_poly2,6,550.6666666666666,465.9295368758385,0.48079966566361887,0.01898467746172005,0.3431141422463415,0.11669069310497385,0.11346352500042944,0.017778154472494822,0.07626966060221314,0.018126751477284098,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,7,163.5,57.27564927611035,0.48571257771401244,0.0144566307487924,0.087863979374333,0.00044827858182025087,0.138764552009794,0.00907915511007424,0.10135786672334053,0.02566182842630431,"37,41"
VCSL public-label audit,invariant_logistic_poly2,8,146.0,100.2197585309404,0.4584680821147356,0.04140579407417961,0.2335010606082725,0.23094017502542621,0.12872583674688504,0.05574978634980204,0.1175500553490423,0.05572752107379901,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,9,181.33333333333334,178.37133551479997,0.48569520891896284,0.050033243987357735,0.29825485672102275,0.30864607068833194,0.12809713465397787,0.02362235736888259,0.14709408171971558,0.08361343584025564,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,0,194.33333333333334,96.00173609541305,0.5248971715122831,0.008915003781583053,0.23354520225080513,0.193648144432589,0.1577571175244452,0.007159444694782202,0.10841601092688313,0.049090896782820824,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1,69.66666666666667,97.38754198219264,0.5425315425315426,0.02255825227602932,0.21229489338003668,0.2072878415995176,0.12700626262495496,0.03398068794010571,0.1877005919842686,0.08368067354495444,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,2,19.5,23.33452377915607,0.5,0.23570226039551584,0.2492401746724891,0.2280280418212409,0.16373239213821406,0.027412761015114983,0.26762799069984955,0.056976127245063374,"37,41"
