left_method,right_method,delta_pr_auc,delta_pr_auc_ci_low,delta_pr_auc_ci_high,delta_pr_auc_boot_p_two_sided,delta_fpr_at_95_recall,delta_fpr95_ci_low,delta_fpr95_ci_high,pooled_pairs,bootstrap_resamples
score_only,default_invariant,0.0012161189756431101,0.0004298671279346383,0.0019763996516156874,0.0,-0.001377777777777811,-0.010801182630221727,0.005330277155000135,45000,600
default_invariant,mean_score_fusion,0.01581726996755095,0.013905020561182122,0.01771938132150391,0.0,-0.031822222222222196,-0.04340073394296663,-0.019517409952900786,45000,600
default_invariant,platt_calibrated_score,0.013589533664149278,0.011685789817773124,0.01569437483661042,0.0,-0.029022222222222227,-0.0398375443397586,-0.017004497558682073,45000,600
default_invariant,fedyogi,0.0058754947891439535,0.005145279084614263,0.006619409607749002,0.0,-0.010266666666666646,-0.015372350882936644,-0.0037740794995332672,45000,600
default_invariant,all_fields,0.0664345656998695,0.06457942778798104,0.06840574168754718,0.0,-0.24831111111111104,-0.2585647300094363,-0.23934365357822912,45000,600
