ledger_type,schema_version,receipts,verification_success,signature_verification_success,tamper_detection_success,mean_receipt_latency_sec,ledger_bytes,seed,method
hashchain,fedtwin-cryptid-receipt-v2,250,True,True,True,8.490400272421538e-06,359884,31,fedavg_secureagg_sim
hashchain,fedtwin-cryptid-receipt-v2,250,True,True,True,9.996800101362168e-06,359868,37,fedavg_secureagg_sim
hashchain,fedtwin-cryptid-receipt-v2,250,True,True,True,1.0429199959617108e-05,359900,41,fedavg_secureagg_sim
