ledger_type,receipts,verification_success,mean_receipt_latency_sec,ledger_bytes,seed,method
hashchain,250,True,9.665343910455704e-06,246626,31,fedavg_secureagg
hashchain,250,True,8.73379036784172e-06,246570,37,fedavg_secureagg
hashchain,250,True,8.570726960897445e-06,246590,41,fedavg_secureagg
