mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,protocol_scope,active_clients,dropped_clients,max_abs_error_vs_plain,round,method,privacy_mode,mean_client_loss,dropout_rate_requested,seed
quantized_transport_proxy,2.000000313273631e-05,2.2500000341096893e-05,1680,26880,16.0,quantized transport accounting proxy; not homomorphic encryption,10,0,0.0,13,fedavg,quantized_transport_proxy,0.3114471141523583,0.0,37
quantized_transport_proxy,1.910000355564989e-05,2.0600000425474718e-05,1680,26880,16.0,quantized transport accounting proxy; not homomorphic encryption,10,0,0.0,14,fedavg,quantized_transport_proxy,0.3100919183094168,0.0,37
quantized_transport_proxy,1.8999999156221747e-05,2.1199997718213126e-05,1680,26880,16.0,quantized transport accounting proxy; not homomorphic encryption,10,0,0.0,15,fedavg,quantized_transport_proxy,0.30891256105707365,0.0,37
quantized_transport_proxy,1.9099999917671084e-05,2.099999983329326e-05,1680,26880,16.0,quantized transport accounting proxy; not homomorphic encryption,10,0,0.0,16,fedavg,quantized_transport_proxy,0.3078774084539949,0.0,37
quantized_transport_proxy,2.2899999748915434e-05,2.59000007645227e-05,1680,26880,16.0,quantized transport accounting proxy; not homomorphic encryption,10,0,0.0,17,fedavg,quantized_transport_proxy,0.30696196703256773,0.0,37
quantized_transport_proxy,2.6900001103058457e-05,3.0800001695752144e-05,1680,26880,16.0,quantized transport accounting proxy; not homomorphic encryption,10,0,0.0,18,fedavg,quantized_transport_proxy,0.3061470094253861,0.0,37
quantized_transport_proxy,2.5299999833805487e-05,3.2899999496294186e-05,1680,26880,16.0,quantized transport accounting proxy; not homomorphic encryption,10,0,0.0,19,fedavg,quantized_transport_proxy,0.3054172351077751,0.0,37
quantized_transport_proxy,2.1899999410379678e-05,2.3100001271814108e-05,1680,26880,16.0,quantized transport accounting proxy; not homomorphic encryption,10,0,0.0,20,fedavg,quantized_transport_proxy,0.3047603211754188,0.0,37
plain,2.6999987312592566e-06,2.0899999071843922e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,1,fedavg,plain,0.4543656244678558,0.0,41
plain,1.7999991541728377e-06,1.849999898695387e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,2,fedavg,plain,0.39681839746091085,0.0,41
plain,1.6000012692529708e-06,1.809999957913533e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,3,fedavg,plain,0.369908880475246,0.0,41
plain,1.5999976312741637e-06,1.9499999325489625e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,4,fedavg,plain,0.3536703227579829,0.0,41
plain,1.5000005078036338e-06,1.7700000171316788e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,5,fedavg,plain,0.342587805476002,0.0,41
plain,1.7999991541728377e-06,2.519999907235615e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,6,fedavg,plain,0.334452123578277,0.0,41
plain,2.0000006770715117e-06,2.8100002964492887e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,7,fedavg,plain,0.3281835411780551,0.0,41
plain,1.9999999494757503e-05,7.519999780924991e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,8,fedavg,plain,0.32318255719917927,0.0,41
plain,1.7999991541728377e-06,2.390000008745119e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,9,fedavg,plain,0.31908576868178695,0.0,41
plain,1.7999991541728377e-06,2.179999864893034e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,10,fedavg,plain,0.3156584849662682,0.0,41
plain,1.6000012692529708e-06,1.9800001609837636e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,11,fedavg,plain,0.312741760080612,0.0,41
plain,1.7999991541728377e-06,2.130000211764127e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,12,fedavg,plain,0.3102238915030774,0.0,41
plain,2.1999985619913787e-06,4.6399996790569276e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,13,fedavg,plain,0.30802400994281304,0.0,41
plain,1.7999991541728377e-06,2.3299999156733975e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,14,fedavg,plain,0.30608211047816847,0.0,41
plain,2.4000000848900527e-06,2.0899999071843922e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,15,fedavg,plain,0.30435272977892336,0.0,41
plain,1.6000012692529708e-06,1.8799997633323073e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,16,fedavg,plain,0.3028007920114445,0.0,41
plain,1.6999983927235007e-06,1.7700000171316788e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,17,fedavg,plain,0.3013987985662158,0.0,41
plain,1.4999968698248267e-06,1.7000002117129043e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,18,fedavg,plain,0.30012487943070565,0.0,41
plain,2.1000014385208488e-06,2.470000254106708e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,19,fedavg,plain,0.29896141320758185,0.0,41
plain,2.5000008463393897e-06,2.2300002456177026e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,20,fedavg,plain,0.29789403176588547,0.0,41
plain,2.0999978005420417e-06,2.1200001356191933e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,1,fedprox,plain,0.4548251504543176,0.0,41
plain,2.0999978005420417e-06,4.819999958272092e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,2,fedprox,plain,0.39713837654028405,0.0,41
plain,1.5999976312741637e-06,2.13999992411118e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,3,fedprox,plain,0.37015509458707463,0.0,41
plain,1.8999999156221747e-06,2.2899999748915434e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,4,fedprox,plain,0.3538731882530872,0.0,41
plain,1.7999991541728377e-06,2.1899999410379678e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,5,fedprox,plain,0.34276155298896366,0.0,41
plain,1.5999976312741637e-06,2.099999983329326e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,6,fedprox,plain,0.3346044865451835,0.0,41
plain,1.5999976312741637e-06,1.9800001609837636e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,7,fedprox,plain,0.3283192902892587,0.0,41
plain,1.4999968698248267e-06,1.8200000340584666e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,8,fedprox,plain,0.3233049342680997,0.0,41
plain,1.5000005078036338e-06,1.9499999325489625e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,9,fedprox,plain,0.31919713338911204,0.0,41
plain,1.6000012692529708e-06,1.8700000509852543e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,10,fedprox,plain,0.3157606370975362,0.0,41
plain,1.5999976312741637e-06,2.040000254055485e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,11,fedprox,plain,0.3128361159595535,0.0,41
plain,1.2999989849049598e-06,1.7700000171316788e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,12,fedprox,plain,0.3103115894239937,0.0,41
plain,2.0000006770715117e-06,2.399999721092172e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,13,fedprox,plain,0.30810597821713576,0.0,41
plain,1.5000005078036338e-06,2.0300001779105514e-05,1680,1680,1.0,plain weighted averaging,10,0,0.0,14,fedprox,plain,0.3061591142333795,0.0,41
