method,privacy_mode,mean_encryption_time_sec_mean,mean_aggregation_time_sec_mean,ciphertext_expansion_mean,mean_encryption_time_sec_std,mean_aggregation_time_sec_std,ciphertext_expansion_std
fedavg_heagg,heagg,2.159731359117561e-05,2.104691229760647e-05,16.0,5.085888542341592e-07,4.856957571266696e-07,0.0
fedavg_plain,plain,2.9549261348115075e-06,1.7453673192196422e-05,1.0,1.8287336690562526e-07,5.617160922644823e-07,0.0
fedavg_secureagg,secureagg,3.136590951018863e-06,1.7824856978323724e-05,2.0,1.0970871477639321e-07,1.0444369047545445e-06,0.0
fedprox_plain,plain,3.4846106751097568e-06,1.7610016382402846e-05,1.0,6.815026371349337e-07,5.88886755262373e-07,0.0
