method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,568,0,0,0,568,fma_crop_copy,31
random,multimodal,none,,,,0.25,0.5,0.0,0.0,0.0,0,244,0,0,244,fma_cross_genre_negative,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,636,0,0,0,636,fma_dropout_copy,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,610,0,0,0,610,fma_lowpass_copy,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,604,0,0,0,604,fma_noise_copy,31
random,multimodal,none,,,,0.25,0.5,0.0,0.0,0.0,0,2756,0,0,2756,fma_same_genre_negative,31
random,multimodal,none,,,,0.25,0.5,1.0,1.0,1.0,582,0,0,0,582,fma_speed_copy,31
audio_similarity,multimodal,none,,,,0.0002694190336203076,0.004311632939267515,1.0,1.0,1.0,568,0,0,0,568,fma_crop_copy,31
audio_similarity,multimodal,none,,,,0.6200157650921941,0.771846532683416,0.05737704918032787,0.0,0.0,0,230,14,0,244,fma_cross_genre_negative,31
audio_similarity,multimodal,none,,,,0.0003752821207366118,0.016851647588200232,1.0,1.0,1.0,636,0,0,0,636,fma_dropout_copy,31
audio_similarity,multimodal,none,,,,0.007359847987019141,0.06589916397781848,1.0,1.0,1.0,610,0,0,0,610,fma_lowpass_copy,31
audio_similarity,multimodal,none,,,,1.2952790735291734e-06,0.000578162295890472,1.0,1.0,1.0,604,0,0,0,604,fma_noise_copy,31
audio_similarity,multimodal,none,,,,0.6643708946846762,0.8012946307917784,0.05660377358490566,0.0,0.0,0,2600,156,0,2756,fma_same_genre_negative,31
audio_similarity,multimodal,none,,,,0.00042187225483362025,0.016044470617705347,1.0,1.0,1.0,582,0,0,0,582,fma_speed_copy,31
fedavg_plain,multimodal,none,,,,0.004134684780881629,0.018055531625164992,0.9947183098591549,1.0,0.9947183098591549,565,0,0,3,568,fma_crop_copy,31
fedavg_plain,multimodal,none,,,,0.03996069912455094,0.09851165933865276,0.9508196721311475,0.0,0.0,0,12,232,0,244,fma_cross_genre_negative,31
fedavg_plain,multimodal,none,,,,0.09242046005184178,0.2921884556888996,0.9732704402515723,1.0,0.9732704402515723,619,0,0,17,636,fma_dropout_copy,31
fedavg_plain,multimodal,none,,,,0.03516695924025698,0.06423047123828222,0.9655737704918033,1.0,0.9655737704918033,589,0,0,21,610,fma_lowpass_copy,31
fedavg_plain,multimodal,none,,,,7.865558310613287e-06,0.0028004600490326714,1.0,1.0,1.0,604,0,0,0,604,fma_noise_copy,31
fedavg_plain,multimodal,none,,,,0.046422847149425114,0.11616208681398929,0.9321480406386067,0.0,0.0,0,187,2569,0,2756,fma_same_genre_negative,31
fedavg_plain,multimodal,none,,,,0.005093292646334013,0.05444162452443151,1.0,1.0,1.0,582,0,0,0,582,fma_speed_copy,31
