method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,seed
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,3000,3000,0,0,6000,31
audio_similarity,audio,none,0.9717272222222221,0.9769843594166281,0.17533333333333334,0.3312362601910505,0.38894105318476724,0.5283333333333333,0.5145797598627787,1.0,3000,2830,170,0,6000,31
centralized_audio,audio,none,0.9717272222222221,0.9769843594166281,0.17533333333333334,0.09314997442441644,0.15315689361839166,0.8803333333333333,0.8271215596330275,0.9616666666666667,2885,603,2397,115,6000,31
centralized_audio_evidence,audio,none,0.9921834444444445,0.9936628716449589,0.023666666666666666,0.042070417598536976,0.07695898790495789,0.953,0.9215260545905707,0.9903333333333333,2971,253,2747,29,6000,31
local_multimodal,audio,none,0.9920588888888889,0.9936949784939177,0.027666666666666666,0.04307034817973609,0.07682377921913751,0.9515,0.9207828518173345,0.988,2964,255,2745,36,6000,31
fedavg_plain,audio,plain,0.992146888888889,0.9935767010659916,0.024666666666666667,0.03720676385544349,0.05688329660649575,0.96,0.9369854338188727,0.9863333333333333,2959,199,2801,41,6000,31
fedprox_plain,audio,plain,0.9921491111111111,0.9935797083003508,0.024666666666666667,0.03722925979227016,0.056986113401149195,0.96,0.9369854338188727,0.9863333333333333,2959,199,2801,41,6000,31
fedavg_secureagg_sim,audio,secureagg_sim,0.992146888888889,0.9935767010659916,0.024666666666666667,0.037206763855443234,0.05688329660649483,0.96,0.9369854338188727,0.9863333333333333,2959,199,2801,41,6000,31
fedavg_quantized_transport_proxy,audio,quantized_transport_proxy,0.992146888888889,0.9935767010659916,0.024666666666666667,0.03720675982262183,0.056883283461516096,0.96,0.9369854338188727,0.9863333333333333,2959,199,2801,41,6000,31
fedavgft_plain,audio,plain,0.9924042222222222,0.9938550161408359,0.023666666666666666,0.036331057654299205,0.059812526228792025,0.963,0.940952380952381,0.988,2964,186,2814,36,6000,31
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,3000,3000,0,0,6000,37
audio_similarity,audio,none,0.9747268888888888,0.9785130759173435,0.16666666666666666,0.35262607451710526,0.40639696250502516,0.5146666666666667,0.5074424898511503,1.0,3000,2912,88,0,6000,37
centralized_audio,audio,none,0.9747268888888888,0.9785130759173435,0.16666666666666666,0.09251636930915948,0.16024046984312054,0.8761666666666666,0.8205055381993752,0.963,2889,632,2368,111,6000,37
centralized_audio_evidence,audio,none,0.9949537777777778,0.995238101238684,0.025,0.041984992291065275,0.07672581080924179,0.9455,0.9083409715857012,0.991,2973,300,2700,27,6000,37
local_multimodal,audio,none,0.99497,0.9953297929321843,0.020666666666666667,0.04365328912187902,0.08295363208442723,0.9485,0.9118457300275482,0.993,2979,288,2712,21,6000,37
fedavg_plain,audio,plain,0.9949115555555557,0.9951474723332477,0.025333333333333333,0.03694497346448626,0.06064179429400291,0.955,0.925498753117207,0.9896666666666667,2969,239,2761,31,6000,37
fedprox_plain,audio,plain,0.9949128888888888,0.9951490335148669,0.025333333333333333,0.036967719407848355,0.06074479115845097,0.955,0.925498753117207,0.9896666666666667,2969,239,2761,31,6000,37
fedavg_secureagg_sim,audio,secureagg_sim,0.9949115555555557,0.9951474723332477,0.025333333333333333,0.03694497346448602,0.060641794294002016,0.955,0.925498753117207,0.9896666666666667,2969,239,2761,31,6000,37
fedavg_quantized_transport_proxy,audio,quantized_transport_proxy,0.9949115555555557,0.9951474723332477,0.025333333333333333,0.03694498268547568,0.060641844224988195,0.955,0.925498753117207,0.9896666666666667,2969,239,2761,31,6000,37
fedavgft_plain,audio,plain,0.9951005555555555,0.9953385927858835,0.025333333333333333,0.03615940962058459,0.05811569913178776,0.9586666666666667,0.931077694235589,0.9906666666666667,2972,220,2780,28,6000,37
random,multimodal,none,0.5,0.5,1.0,0.25,0.0,0.5,0.5,1.0,3000,3000,0,0,6000,41
audio_similarity,audio,none,0.9709215555555556,0.974978409919595,0.20166666666666666,0.35042268774512,0.4030349310177442,0.523,0.5117707267144319,1.0,3000,2862,138,0,6000,41
centralized_audio,audio,none,0.9709215555555556,0.974978409919595,0.20166666666666666,0.0983961650972682,0.15409418541686587,0.8583333333333333,0.7946820175438597,0.9663333333333334,2899,749,2251,101,6000,41
centralized_audio_evidence,audio,none,0.9935623333333334,0.9938949148389352,0.031,0.04664122749788013,0.07635513948591374,0.9423333333333334,0.9035888077858881,0.9903333333333333,2971,317,2683,29,6000,41
local_multimodal,audio,none,0.9939655555555555,0.9944267788207082,0.033666666666666664,0.04717168473957179,0.08575969007490082,0.9443333333333334,0.9064024390243902,0.991,2973,307,2693,27,6000,41
fedavg_plain,audio,plain,0.9934657777777779,0.9937214194470704,0.033,0.04100775275597417,0.06152713592617079,0.9516666666666667,0.9202853598014888,0.989,2967,257,2743,33,6000,41
fedprox_plain,audio,plain,0.9934742222222223,0.9937305456976742,0.033,0.04103227798705509,0.06163520269812305,0.9516666666666667,0.9202853598014888,0.989,2967,257,2743,33,6000,41
fedavg_secureagg_sim,audio,secureagg_sim,0.9934657777777779,0.9937214194470704,0.033,0.041007752755973945,0.06152713592616981,0.9516666666666667,0.9202853598014888,0.989,2967,257,2743,33,6000,41
fedavg_quantized_transport_proxy,audio,quantized_transport_proxy,0.9934657777777779,0.9937214194470704,0.033,0.04100774731839613,0.06152710789733668,0.9516666666666667,0.9202853598014888,0.989,2967,257,2743,33,6000,41
fedavgft_plain,audio,plain,0.9937797777777777,0.9940465276697171,0.034,0.039904297285296084,0.059163915028986616,0.9531666666666667,0.9228615863141524,0.989,2967,248,2752,33,6000,41
