mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,protocol_scope,active_clients,dropped_clients,max_abs_error_vs_plain,round,method,privacy_mode,mean_client_loss,dropout_rate_requested,seed
plain,3.0000010156072676e-06,2.0499996026046574e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,1,fedavg,plain,0.3349334958153815,0.0,31
plain,3.4000040614046156e-06,0.0002724999940255657,1344,1344,1.0,plain weighted averaging,8,0,0.0,2,fedavg,plain,0.274061457036752,0.0,31
plain,2.1999949240125716e-06,2.600000152597204e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,3,fedavg,plain,0.24579328940787437,0.0,31
plain,2.4000037228688598e-06,2.2199994418770075e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,4,fedavg,plain,0.22838048688340057,0.0,31
plain,3.0000010156072676e-06,3.199999628122896e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,5,fedavg,plain,0.21602946229851785,0.0,31
plain,2.5999979698099196e-06,2.4499997380189598e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,6,fedavg,plain,0.20652437981744526,0.0,31
plain,2.3999964469112456e-06,2.5699999241624027e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,7,fedavg,plain,0.19882704935468046,0.0,31
plain,2.4999972083605826e-06,2.4300003133248538e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,8,fedavg,plain,0.19238018713284266,0.0,31
plain,2.4000037228688598e-06,2.5800000003073364e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,9,fedavg,plain,0.18685334435420814,0.0,31
plain,2.6000052457675338e-06,2.300000051036477e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,10,fedavg,plain,0.18203494397343328,0.0,31
plain,2.5000044843181968e-06,2.5800000003073364e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,11,fedavg,plain,0.17778100410938513,0.0,31
plain,3.0000010156072676e-06,2.8800001018680632e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,12,fedavg,plain,0.1739886088389317,0.0,31
plain,2.2999956854619086e-06,2.6100002287421376e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,13,fedavg,plain,0.170581206988838,0.0,31
plain,3.1999952625483274e-06,3.4500000765547156e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,14,fedavg,plain,0.1674999871997854,0.0,31
plain,2.4000037228688598e-06,2.489999315002933e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,15,fedavg,plain,0.16469856515221748,0.0,31
plain,2.4000037228688598e-06,2.42000023717992e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,16,fedavg,plain,0.1621395688211167,0.0,31
plain,4.6000059228390455e-06,3.850000211969018e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,17,fedavg,plain,0.15979235939130942,0.0,31
plain,2.3000029614195228e-06,2.179999864893034e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,18,fedavg,plain,0.15763145805659676,0.0,31
plain,1.8999999156221747e-06,2.2300002456177026e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,19,fedavg,plain,0.15563542682666356,0.0,31
plain,2.2999956854619086e-06,2.4300003133248538e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,20,fedavg,plain,0.1537860505653673,0.0,31
plain,2.2000021999701858e-06,2.2100000933278352e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,21,fedavg,plain,0.15206772468170085,0.0,31
plain,2.0000006770715117e-06,2.1100000594742596e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,22,fedavg,plain,0.15046698696295513,0.0,31
plain,2.1999949240125716e-06,2.0700004824902862e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,23,fedavg,plain,0.14897215291393276,0.0,31
plain,2.2999956854619086e-06,2.3100001271814108e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,24,fedavg,plain,0.1475730270909186,0.0,31
plain,2.6000052457675338e-06,2.3299995518755168e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,25,fedavg,plain,0.1462606713711587,0.0,31
plain,3.0000010156072676e-06,3.229999856557697e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,26,fedavg,plain,0.14502721666485685,0.0,31
plain,4.2000028770416975e-06,4.5700006012339145e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,27,fedavg,plain,0.1438657083210918,0.0,31
plain,3.0000010156072676e-06,3.360000118846074e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,28,fedavg,plain,0.14276997804936814,0.0,31
plain,4.0000013541430235e-06,3.789999755099416e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,29,fedavg,plain,0.14173453697734847,0.0,31
plain,2.7999994927085936e-06,3.0200004403013736e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,30,fedavg,plain,0.14075448574772315,0.0,31
plain,4.6000059228390455e-06,3.410000499570742e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,1,fedprox,plain,0.3359337877071613,0.0,31
plain,2.4000037228688598e-06,3.0500006687361747e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,2,fedprox,plain,0.274689112222664,0.0,31
plain,3.1999952625483274e-06,2.849999873433262e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,3,fedprox,plain,0.24625920328105305,0.0,31
plain,2.6999987312592566e-06,2.5399996957276016e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,4,fedprox,plain,0.22876004452372067,0.0,31
plain,2.6999987312592566e-06,3.429999924264848e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,5,fedprox,plain,0.21635638301190147,0.0,31
plain,2.3000029614195228e-06,2.1699997887481004e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,6,fedprox,plain,0.2068161135599623,0.0,31
plain,2.1000014385208488e-06,2.3499997041653842e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,7,fedprox,plain,0.19909355143661334,0.0,31
plain,2.2000021999701858e-06,2.2999993234407157e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,8,fedprox,plain,0.19262755023635875,0.0,31
plain,2.1000014385208488e-06,2.4500004656147212e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,9,fedprox,plain,0.18708550583664527,0.0,31
plain,2.3999964469112456e-06,2.890000178012997e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,10,fedprox,plain,0.18225456624574402,0.0,31
plain,2.4000037228688598e-06,2.370000584051013e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,11,fedprox,plain,0.17798996106321346,0.0,31
plain,2.4999972083605826e-06,2.160000440198928e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,12,fedprox,plain,0.17418826908538673,0.0,31
plain,3.0000010156072676e-06,2.6599998818710446e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,13,fedprox,plain,0.17077260559277577,0.0,31
plain,2.7999994927085936e-06,2.4499997380189598e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,14,fedprox,plain,0.16768393315576993,0.0,31
plain,2.1000014385208488e-06,2.2100000933278352e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,15,fedprox,plain,0.1648757103666318,0.0,31
plain,2.2000021999701858e-06,2.3099993995856494e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,16,fedprox,plain,0.16231045331499022,0.0,31
plain,2.6999987312592566e-06,3.0800001695752144e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,17,fedprox,plain,0.15995744145091498,0.0,31
plain,2.2000021999701858e-06,2.3799999326001853e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,18,fedprox,plain,0.15779113466920178,0.0,31
plain,2.5999979698099196e-06,3.199999628122896e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,19,fedprox,plain,0.1557900477478375,0.0,31
plain,2.2000021999701858e-06,2.2199994418770075e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,20,fedprox,plain,0.1539359281581945,0.0,31
plain,2.3000029614195228e-06,2.0499996026046574e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,21,fedprox,plain,0.1522131409187505,0.0,31
plain,2.2000021999701858e-06,2.0899999071843922e-05,1344,1344,1.0,plain weighted averaging,8,0,0.0,22,fedprox,plain,0.15060819850620943,0.0,31
