left_method,right_method,delta_pr_auc,delta_pr_auc_ci_low,delta_pr_auc_ci_high,delta_pr_auc_boot_p_two_sided,delta_fpr_at_95_recall,delta_fpr95_ci_low,delta_fpr95_ci_high,pooled_pairs,bootstrap_resamples,holm_adjusted_p_value
score_only,default_invariant,-0.0007958736068631733,-0.0014716353987219376,-0.00011241311870772987,0.020795840831833633,-0.0005777777777777882,-0.008796533642014413,0.007305567508308584,45000,5000,0.020795840831833633
default_invariant,mean_score_fusion,0.013709169371592611,0.011750235994298766,0.015665658852636374,0.0003999200159968006,-0.012622222222222201,-0.025048150586030382,8.976429423254938e-05,45000,5000,0.001999600079984003
default_invariant,platt_calibrated_score,0.013456758897264498,0.01163126493004897,0.015273324503225575,0.0003999200159968006,-0.022044444444444422,-0.03408746227440396,-0.010803212412029804,45000,5000,0.001999600079984003
default_invariant,fedyogi,0.004192912996866416,0.003279742014736231,0.005059125301817362,0.0003999200159968006,-0.01746666666666663,-0.021842737770737794,-0.011564797708939513,45000,5000,0.001999600079984003
default_invariant,all_fields,0.024302481467352366,0.02291640915094334,0.02572718888335424,0.0003999200159968006,-0.20786666666666664,-0.2180654046456577,-0.1963534540639702,45000,5000,0.001999600079984003
