method,group,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_at_95_recall_mean,fpr_at_95_recall_std,brier_mean,brier_std,ece_15_mean,ece_15_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,n_mean,n_std,seed_mean,seed_std
all fields,ablation,0.8806667140740742,0.04390884210034163,0.8885988738042135,0.03593901008458149,0.5360444444444444,0.1879044832217018,0.14863856279341434,0.02793913135826585,0.08954358973043035,0.0076507025944584865,0.7982444444444444,0.036343077184785307,0.8166592062512238,0.03208688904495584,0.7741777777777777,0.12701092399795705,5806.333333333333,952.5819299846776,1332.6666666666667,468.62493887258427,6167.333333333333,468.62493887258427,1693.6666666666667,952.5819299846776,15000.0,0.0,36.333333333333336,5.033222956847165
all fields minus context,ablation,0.8979386548148148,0.03142725198764445,0.8996663367529504,0.027777062432675165,0.4494666666666667,0.1256081384482886,0.13656661485213262,0.01923092325920478,0.07630722789531398,0.010010183913297053,0.8103111111111111,0.028164148473888855,0.822252126043733,0.031846930380918306,0.7966666666666667,0.11039331702799968,5975.0,827.9498777099976,1320.3333333333333,457.0747568323297,6179.666666666667,457.0747568323297,1525.0,827.9498777099976,15000.0,0.0,36.333333333333336,5.033222956847165
audio only,ablation,0.869017997037037,0.03966903559544623,0.8712599036541963,0.03348150364866137,0.5381777777777779,0.13408603097900884,0.15013617547714755,0.025060892658989205,0.05699543731814605,0.005749024025917603,0.7864,0.042388101055733936,0.8056634329793252,0.01502827120648726,0.7556888888888889,0.11477315468800636,5667.666666666667,860.7986601600478,1371.6666666666667,262.71721171886196,6128.333333333333,262.71721171886196,1832.3333333333333,860.7986601600478,15000.0,0.0,36.333333333333336,5.033222956847165
default invariant,ablation,0.9141106133333333,0.025024052825374524,0.9116475593463885,0.022572319996127736,0.37191111111111114,0.09892599553500885,0.12133261500769495,0.0166914360094306,0.05512015881745896,0.01566620424967944,0.8291111111111111,0.027113123786857908,0.8415343434626351,0.02795200936191294,0.8137777777777777,0.0900337056226619,6103.333333333333,675.2527921699644,1166.6666666666667,340.03137110174606,6333.333333333333,340.03137110174606,1396.6666666666667,675.2527921699646,15000.0,0.0,36.333333333333336,5.033222956847165
linear all fields,ablation,0.8821781985185185,0.042779085148921925,0.8893818952212692,0.03528690955142177,0.5263555555555556,0.1764090364696439,0.146661563480146,0.02597550920277204,0.0819851718316875,0.008815862398470953,0.7979555555555556,0.03316251788680391,0.8088799433030033,0.03200099170003033,0.7852,0.11994361638332868,5889.0,899.5771228749651,1419.6666666666667,473.9054054696289,6080.333333333333,473.9054054696289,1611.0,899.5771228749651,15000.0,0.0,36.333333333333336,5.033222956847165
remove poly2 interactions,ablation,0.8821781985185185,0.042779085148921925,0.8893818952212692,0.03528690955142177,0.5263555555555556,0.1764090364696439,0.146661563480146,0.02597550920277204,0.0819851718316875,0.008815862398470953,0.7979555555555556,0.03316251788680391,0.8088799433030033,0.03200099170003033,0.7852,0.11994361638332868,5889.0,899.5771228749651,1419.6666666666667,473.9054054696289,6080.333333333333,473.9054054696289,1611.0,899.5771228749651,15000.0,0.0,36.333333333333336,5.033222956847165
remove reliability,ablation,0.8817145599999999,0.043832400286327934,0.8911262148598954,0.034743268839581974,0.5567555555555556,0.2083094421856669,0.14448341237694234,0.028416975170741193,0.08208626117745015,0.008675082063247266,0.802911111111111,0.03673964454756576,0.8287963133520876,0.030049940157071187,0.7675555555555555,0.12013631763465539,5756.666666666667,901.0223822599156,1213.0,410.76027071760484,6287.0,410.76027071760484,1743.3333333333333,901.0223822599155,15000.0,0.0,36.333333333333336,5.033222956847165
score only,ablation,0.9139212681481482,0.023979760320534366,0.9115767673201357,0.022104305675884513,0.3735111111111111,0.09616895626005384,0.12287001920517109,0.014945237782897162,0.061723826148372206,0.01711027049918419,0.8280666666666666,0.022447667535353842,0.8353416715382201,0.03202369964170943,0.8213333333333334,0.09214664640910396,6160.0,691.0998480682803,1239.0,413.27472702791783,6261.0,413.27472702791783,1340.0,691.0998480682803,15000.0,0.0,36.333333333333336,5.033222956847165
visual+temporal,ablation,0.8996078577777779,0.030378639090816707,0.8937640750286929,0.02992394535782925,0.4033777777777778,0.10564547281320638,0.13459001982872718,0.017211928123341637,0.07232202363556976,0.023007708948170735,0.8103777777777778,0.02612936477803675,0.8117549564852135,0.03201486696905059,0.8128000000000001,0.10278132126023673,6096.0,770.8599094517758,1440.3333333333333,462.0090186709923,6059.666666666667,462.0090186709923,1404.0,770.8599094517758,15000.0,0.0,36.333333333333336,5.033222956847165
