method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_plain,multimodal,none,1.0,1.0,0.0,0.9642857142857143,1.0,0.9090909090909091,10,0,17,1,28,1,37
fedavg_plain,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,6,0,3,0,9,2,37
fedavg_plain,multimodal,none,0.7311883322157295,0.7735651463655899,0.8082191780821918,0.6384083044982699,0.9325842696629213,0.2902097902097902,83,6,286,203,578,3,37
fedavg_plain,multimodal,none,0.640780020526856,0.6489819099436762,0.8607594936708861,0.5228758169934641,1.0,0.013513513513513514,1,0,79,73,153,4,37
fedavg_plain,multimodal,none,0.9799583911234397,0.9845759504066357,0.04285714285714286,0.9519230769230769,0.9514563106796117,0.9514563106796117,196,10,200,10,416,5,37
fedavg_plain,multimodal,none,0.9975134354696398,0.9958965534645183,0.003663003663003663,0.9945155393053017,0.9963369963369964,0.9927007299270073,272,1,272,2,547,6,37
fedavg_plain,multimodal,none,0.298014888337469,0.44595335218015575,0.9919354838709677,0.5118110236220472,1.0,0.046153846153846156,6,0,124,124,254,7,37
fedavg_plain,multimodal,none,0.4465737514518002,0.6158292758158008,0.9841269841269841,0.46206896551724136,1.0,0.04878048780487805,4,0,63,78,145,8,37
fedavg_plain,multimodal,none,0.4788845441448858,0.5938243873079583,0.986046511627907,0.6281179138321995,0.7980769230769231,0.3672566371681416,83,21,194,143,441,9,37
fedprox_plain,multimodal,none,0.4651567944250871,0.4970630911702352,0.9732142857142857,0.5571095571095571,0.7027027027027027,0.12682926829268293,26,11,213,179,429,0,37
fedprox_plain,multimodal,none,1.0,1.0,0.0,0.9642857142857143,1.0,0.9090909090909091,10,0,17,1,28,1,37
fedprox_plain,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,6,0,3,0,9,2,37
fedprox_plain,multimodal,none,0.731224255196858,0.7735909459399357,0.8082191780821918,0.6384083044982699,0.9325842696629213,0.2902097902097902,83,6,286,203,578,3,37
fedprox_plain,multimodal,none,0.6406089633937735,0.6486549701006072,0.8607594936708861,0.5228758169934641,1.0,0.013513513513513514,1,0,79,73,153,4,37
fedprox_plain,multimodal,none,0.9799583911234397,0.9845759504066357,0.04285714285714286,0.9519230769230769,0.9514563106796117,0.9514563106796117,196,10,200,10,416,5,37
fedprox_plain,multimodal,none,0.9975134354696398,0.9958965534645183,0.003663003663003663,0.9945155393053017,0.9963369963369964,0.9927007299270073,272,1,272,2,547,6,37
fedprox_plain,multimodal,none,0.298014888337469,0.44595322045268054,0.9919354838709677,0.5118110236220472,1.0,0.046153846153846156,6,0,124,124,254,7,37
fedprox_plain,multimodal,none,0.4465737514518002,0.6158292758158008,0.9841269841269841,0.46206896551724136,1.0,0.04878048780487805,4,0,63,78,145,8,37
fedprox_plain,multimodal,none,0.4788433834122247,0.593725439412008,0.986046511627907,0.6281179138321995,0.7980769230769231,0.3672566371681416,83,21,194,143,441,9,37
fedavg_secureagg,multimodal,none,0.4651350174216028,0.4980241414743888,0.9732142857142857,0.5571095571095571,0.7027027027027027,0.12682926829268293,26,11,213,179,429,0,37
fedavg_secureagg,multimodal,none,1.0,1.0,0.0,0.9642857142857143,1.0,0.9090909090909091,10,0,17,1,28,1,37
fedavg_secureagg,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,6,0,3,0,9,2,37
fedavg_secureagg,multimodal,none,0.7311883322157295,0.7735651463655899,0.8082191780821918,0.6384083044982699,0.9325842696629213,0.2902097902097902,83,6,286,203,578,3,37
fedavg_secureagg,multimodal,none,0.640780020526856,0.6489819099436762,0.8607594936708861,0.5228758169934641,1.0,0.013513513513513514,1,0,79,73,153,4,37
fedavg_secureagg,multimodal,none,0.9799583911234397,0.9845759504066357,0.04285714285714286,0.9519230769230769,0.9514563106796117,0.9514563106796117,196,10,200,10,416,5,37
fedavg_secureagg,multimodal,none,0.9975134354696398,0.9958965534645183,0.003663003663003663,0.9945155393053017,0.9963369963369964,0.9927007299270073,272,1,272,2,547,6,37
